issue,subject,company,response,product_area,status,request_type,justification
I notice that people I assigned the test in October of 2025 have not received new tests. How long do the tests stay active in the system.,Test Active in the system,HackerRank,"Tests can remain active unless expiration settings are configured. If a candidate needs another attempt or the link no longer works, a recruiter can review the test settings and reinvite the candidate where allowed.",screen,replied,product_issue,This request is categorized as product_issue. The issue matches documented behavior: 'Candidates can attempt the test only during the active period.'. The response is grounded in this guidance (hackerrank/screen/managing-tests/2979262079-modify-test-expiration-time.md). Route=. Confidence=29.98.
site is down & none of the pages are accessible,,None,"This request appears to be outside the scope of our supported domains (HackerRank, Claude, Visa). Please contact the appropriate provider directly.",out_of_scope,replied,invalid,Out-of-scope: max retrieval score 0.00 across all domains.
"I'm noticing that you all have many default versions of roles. (e.g. front end developer for react, angular, vue.js, etc.) What do you consider best practice 
for when to create a new test versus create a variant of the test? What are the advantages and disadvantages of using variants?","When should I create a variant versus
 have a different test?",HackerRank,"Here's how to address your request:

1. For your first issue:
   Based on HackerRank support documentation: Create Test Variants Test variants allow you to create a single assessment that adapts to different candidate profiles. You can design multiple variants within the same assessment to personalize the evaluation based on roles, skills, or other criteria. This approach eliminates the need to manage separate tests, improves efficiency, and ensures candidates are assessed on. If this does not resolve the issue, contact HackerRank support directly with your account details.

2. For your second issue:
   Based on HackerRank support documentation: Create Test Variants Test variants allow you to create a single assessment that adapts to different candidate profiles. You can design multiple variants within the same assessment to personalize the evaluation based on roles, skills, or other criteria. This approach eliminates the need to manage separate tests, improves efficiency, and ensures candidates are assessed on. If this does not resolve the issue, contact HackerRank support directly with your account details.",screen,replied,product_issue,"This request is categorized as product_issue. The issue matches documented behavior: 'Click **Create Variants.** The system converts the existing test into **Variant 1** and opens **Variant 2**, where you'. The response is grounded in this guidance (hackerrank/screen/managing-tests/7530103378-test-variants.md). Route=. Confidence=55.13. | This request is categorized as product_issue. The issue matches documented behavior: 'You can design multiple variants within the same assessment to personalize the evaluation based on roles, skills, or'. The response is grounded in this guidance (hackerrank/screen/managing-tests/7530103378-test-variants.md). Route=. Confidence=15.61."
"Hi there

We have sent a candidate a Hackerrank assessment already, but we have been informed that they require extra time. As the assessment is 105 minutes, they need an extra 50% extra time added (so around 53 minutes) in addition.

Please can you provide step-by-step instruction on how we are to reinvite them.

Do we find their profile in 'Candidates' , put in Add time 53 minutes and then click 'reinvite' and send the email? The email to the candidate says 105 minutes as the duration though still so not sure how we can check?

Thanks","How to reinvite candidate to Hackerrank 
assessment and add extra time",HackerRank,Escalate to a human support specialist. This case needs account-specific review or carries risk that should not be resolved by an automated agent.,fraud_protection,escalated,product_issue,Escalated because Critical risk detected. Escalating to human support. Confidence=0.99.
"i signed up using google login on hackerrank community , so i do not have a separate hackerrank password. please delete my account
",,HackerRank,Escalate to a human support specialist. This case needs account-specific review or carries risk that should not be resolved by an automated agent.,fraud_protection,escalated,product_issue,Escalated because Critical risk detected. Escalating to human support. Confidence=0.99.
"One of my claude conversations has some private info, i forgot to make a temporary chat, is there anything
 else that can be done? like delete etc?",,Claude,"I cannot view private messages. For privacy-related Claude chats, use the documented conversation controls to delete or manage chats, and review account data settings for model-improvement preferences.",privacy,replied,product_issue,This request is categorized as product_issue. The issue matches documented behavior: 'These resources are there to make it easier to get help if you want it.'. The response is grounded in this guidance (claude/safeguards/13171706-crisis-helpline-support-in-claude.md). Route=. Confidence=29.72.
What is the name of the actor in Iron Man?,"Urgent, please help",None ,"This request appears to be outside the scope of our supported domains (HackerRank, Claude, Visa). Please contact the appropriate provider directly.",out_of_scope,replied,invalid,Out-of-scope: max retrieval score 0.00 across all domains.
I bought Visa Traveller's Cheques from Citicorp and they were stolen in Lisbon last night. What do I do?,,Visa,"Here's how to address your request:

1. For your first issue:
   Based on Visa support documentation: Visa Traveller's Cheques for Consumers Visa Traveller's Cheques Visa Traveller's Cheques offer convenience and security while you travel. Contact us about traveller’s cheques - Report a lost cheque - Request a refund - Keep cheques safe Report a lost cheque If your cheques are lost or stolen, they can be replaced or refunded subject to. Follow that workflow and contact Visa support if the issue remains unresolved.

2. For your second issue:
   Based on Visa support documentation: Visa Traveller's Cheques for Consumers Visa Traveller's Cheques Visa Traveller's Cheques offer convenience and security while you travel. Contact us about traveller’s cheques - Report a lost cheque - Request a refund - Keep cheques safe Report a lost cheque If your cheques are lost or stolen, they can be replaced or refunded subject to. Follow that workflow and contact Visa support if the issue remains unresolved.",travel_support,replied,product_issue,This request is categorized as product_issue. The issue matches documented behavior: '------------------------------------------------------------------------ ## Keep cheques safe What to know when using Visa Traveller's Cheques.'. The response is grounded in this guidance (visa/support/consumer/travelers-cheques.md). Route=. Confidence=53.58. | This request is categorized as product_issue. The issue matches documented behavior: '- How and when do you think the cheques were lost or stolen?'. The response is grounded in this guidance (visa/support/consumer/travelers-cheques.md). Route=. Confidence=23.98.
Where can I report a lost or stolen Visa card from India?,Card stolen,Visa,"Report a lost or stolen Visa card to your card issuer immediately. The issuer can block the card, review recent activity, and arrange replacement or emergency assistance if available.",general_support,replied,product_issue,This request is categorized as product_issue. The issue matches documented behavior: 'Visa cardholders can report lost or stolen Visa cards and request emergency services by calling the GCAS number.'. The response is grounded in this guidance (visa/support/consumer/travel-support.md). Route=. Confidence=67.98.
Thank you for helping me,,None,"This request appears to be outside the scope of our supported domains (HackerRank, Claude, Visa). Please contact the appropriate provider directly.",out_of_scope,replied,invalid,Out-of-scope: max retrieval score 0.00 across all domains.
