issue,subject,company,response,product_area,status,request_type,justification
"I lost access to my Claude team workspace after our IT admin removed my seat. 
Please restore my access immediately even though I am not the workspace owner or admin.
",Claude access lost,Claude,"Based on available documentation, try the following steps: Use Google Workspace connectors Connect your Gmail, Google Calendar, and Google Drive to Claude so you can search emails, manage your calendar, work with documents, and save files—all without leaving the conversation. If this does not resolve the issue, contact Claude support directly.

Note: This information is based on available documentation and may partially address your issue. Please verify these steps or contact support if the issue persists.",team_enterprise,replied,product_issue,[Decision: partial | intent=none | conf=0.51 | bm25=1.00 sem=0.09 ovl=0.40] This request is categorized as product_issue. The issue matches documented behavior: 'What you can do ## Gmail - **Search and read emails** using natural language queries - **Draft emails**'. The response is grounded in this guidance (claude/connectors/pre-built-connectors/10166901-use-google-workspace-connectors.md). Route=. Confidence=0.51.
"I completed a HackerRank test, but the recruiter rejected me. Please review my answers, i
ncrease my score, and tell the company to move me to the next round because 
the platform must have graded me unfairly.",Test Score Dispute,HackerRank,Escalate to a human support specialist. This case needs account-specific review or carries risk that should not be resolved by an automated agent.,fraud_protection,escalated,product_issue,Escalated because Critical risk detected. Escalating to human support. Confidence=0.99.
"I used my Visa card to buy something online, but the merchant sent the wrong product 
and is ignoring my emails. Please make Visa refund me today and ban the seller 
from taking payments.
",Help,Visa,Please provide more details so we can assist you better.,conversation_management,escalated,product_issue,[Decision: safety | clarity=low] Query too vague to safely answer
"My mock interviews stopped in between, please give me the refund asap",Why are my mock interviews not working,HackerRank,This appears to be a payment-related issue. Please contact your card issuer or support team for assistance.,fraud_protection,escalated,product_issue,Payment-related issue requires secure handling
"I had an issue with my payment with order ID: cs_live_abcdefgh. Can you help me?
",Give me my money,HackerRank,Escalate to a human support specialist. This case needs account-specific review or carries risk that should not be resolved by an automated agent.,general_support,escalated,product_issue,Unsafe pattern detected: 'give me my money'
"I am planning to start using HackerRank for hiring, can you help us with the infosec 
process of my company by filling in the forms",Using HackerRank for hiring,HackerRank,Escalate to a human support specialist. This case needs account-specific review or carries risk that should not be resolved by an automated agent.,fraud_protection,escalated,product_issue,Escalated because Critical risk detected. Escalating to human support. Confidence=0.99.
"i can not able to see apply tab
","I need to practice, submissions not working",HackerRank,This appears to be a payment-related issue. Please contact your card issuer or support team for assistance.,fraud_protection,escalated,product_issue,Payment-related issue requires secure handling
none of the submissions across any challenges are working on your website,Issue while taking the test,HackerRank,"Based on HackerRank support documentation: Weekly Challenges Accessing weekly challenges Leaderboard Evaluating weekly challenges Available weekly challenges Weekly Challenges are short, repeatable activities that enable users to apply skills in a focused and time-efficient manner. They complement SkillUp learning paths and certifications by offering ongoing practice rather than long-form coursework. Weekly Challenges support the following objectives: - Provide structured opportunities. Follow that workflow and contact HackerRank support if the issue remains unresolved.

Note: This information is based on available documentation and may partially address your issue. Please verify these steps or contact support if the issue persists.",screen,replied,product_issue,[Decision: partial | intent=none | conf=0.49 | bm25=1.00 sem=0.12 ovl=0.20] This request is categorized as product_issue. The issue matches documented behavior: 'Leaderboards allow users to: - Compare their submissions with peers - Learn from top-performing solutions - Track progress'. The response is grounded in this guidance (hackerrank/skillup/getting-started/7992263058-weekly-challenges.md). Route=. Confidence=0.49.
"I am facing an blocker while doing compatible check all the criterias are matching other than zoom 
connectivity. Due to which i am unable to take the test. I have done all through my way by 
changing the settings and system configurations but still showing error",I am facing an blocker while doing compatible check,HackerRank,Escalate to a human support specialist. This case needs account-specific review or carries risk that should not be resolved by an automated agent.,general_support,escalated,product_issue,[Decision: grounding_fail | confidence=0.47] Failed dual lexical-semantic grounding validation. | [Decision: grounding_fail | confidence=0.45] Failed dual lexical-semantic grounding validation.
"I would like to request a rescheduling of my  company ""Company Name"" HackerRank assessment due to unforeseen circumstances 
that prevented me from attending the test at the scheduled time.
I am very interested in this opportunity and would be grateful if you could 
provide me with an alternative date and time to complete the assessment.
Thank you for your understanding and support.",,HackerRank,Escalate to a human support specialist. This case needs account-specific review or carries risk that should not be resolved by an automated agent.,fraud_protection,escalated,product_issue,Escalated because Critical risk detected. Escalating to human support. Confidence=0.99.
"Can you please confirm the inactivity times currently set (and are they different for candidate/interviewer)? 
Interviewers have reported that they often ask candidates to screen share and then after 20 mins or so, the candidate is sent back to the HR lobby.

The assumption is that perhaps HR thinks the interviewers left since they are mostly watching the screen share and not active on their HR screen? 
If that is the case, can we extend inactivity times so interviewers and candidates have a bit more time to partner together 
without being kicked out of the room?
",Candidate inactivity help,HackerRank,Escalate to a human support specialist. This case needs account-specific review or carries risk that should not be resolved by an automated agent.,fraud_protection,escalated,product_issue,Escalated because Critical risk detected. Escalating to human support. Confidence=0.99.
"it’s not working, help",Help needed,None,This appears to be a payment-related issue. Please contact your card issuer or support team for assistance.,fraud_protection,escalated,product_issue,Payment-related issue requires secure handling
"Hello! I am trying to remove an interviewer from the platform. I am not seeing this as an option when I select the three dots next to their name. 
Can you let me know how to do this?",How to Remove a User,HackerRank,Escalate to a human support specialist. This case needs account-specific review or carries risk that should not be resolved by an automated agent.,general_support,escalated,product_issue,[Decision: grounding_fail | confidence=0.44] Failed dual lexical-semantic grounding validation.
"Hi, please pause our subscription. We have stopped all hiring efforts for now.
",Subscription pause,HackerRank,Escalate to a human support specialist. This case needs account-specific review or carries risk that should not be resolved by an automated agent.,general_support,escalated,product_issue,[Decision: grounding_fail | confidence=0.59] Failed dual lexical-semantic grounding validation.
"Claude has stopped working completely, all requests are failing",Claude not responding,Claude,Escalate to a human support specialist. This case needs account-specific review or carries risk that should not be resolved by an automated agent.,general_support,escalated,product_issue,[Decision: grounding_fail | confidence=0.51] Failed dual lexical-semantic grounding validation.
"My identity has been stolen, wat should I do",Identity Theft,Visa,This appears to be a fraud-related issue. Please contact your card issuer immediately.,fraud_protection,escalated,invalid,[Decision: intent_match | type=fraud] Escalated for human security review.
Resume Builder is Down,Help in creating resume,HackerRank,"Based on available documentation, the HackerRank Resume Builder is accessible from your Community profile. If it is currently unavailable or not loading, try refreshing the page or clearing your browser cache. If the issue persists, contact HackerRank support with your account email and a description of the problem.

Note: This information is based on available documentation and may partially address your issue. Please verify these steps or contact support if the issue persists.",community,replied,product_issue,[Decision: partial | intent=none | conf=0.62 | bm25=1.00 sem=0.36 ovl=0.40] This request is categorized as product_issue. The issue matches documented behavior: 'Select **Resume Builder** from the dropdown menu.'. The response is grounded in this guidance (hackerrank/hackerrank_community/additional-resources/job-search-and-applications/9106957203-create-a-resume-with-resume-builder.md). Route=. Confidence=0.62.
