"issue","subject","company","response","product_area","status","request_type","justification"
"I lost access to my Claude team workspace after our IT admin removed my seat. 
Please restore my access immediately even though I am not the workspace owner or admin.
","Claude access lost","Claude","Try the following steps: Use Google Workspace connectors Connect your Gmail, Google Calendar, and Google Drive to Claude so you can search emails, manage your calendar, work with documents, and save files—all without leaving the conversation. If this does not resolve the issue, contact Claude support directly.","team_enterprise","replied","product_issue","This request is categorized as product_issue. The issue matches documented behavior: 'What you can do ## Gmail - **Search and read emails** using natural language queries - **Draft emails**'. The response is grounded in this guidance (claude/connectors/pre-built-connectors/10166901-use-google-workspace-connectors.md). Route=. Confidence=39.71."
"I completed a HackerRank test, but the recruiter rejected me. Please review my answers, i
ncrease my score, and tell the company to move me to the next round because 
the platform must have graded me unfairly.","Test Score Dispute","HackerRank","Escalate to a human support specialist. This case needs account-specific review or carries risk that should not be resolved by an automated agent.","fraud_protection","escalated","product_issue","Escalated because Critical risk detected. Escalating to human support. Confidence=0.99."
"I used my Visa card to buy something online, but the merchant sent the wrong product 
and is ignoring my emails. Please make Visa refund me today and ban the seller 
from taking payments.
","Help","Visa","Here's how to address your request:

1. For your first issue:
   Visa itself does not directly ban a merchant or issue an immediate refund from this support request. Contact the card issuer or financial institution that provided your card so they can review whether a transaction dispute or chargeback process applies.

2. For your second issue:
   Visa contactless payments are accepted at most merchants displaying the contactless symbol. Always check at the terminal before paying. If a specific merchant fails, try inserting the card.","dispute_resolution","replied","product_issue","This request is categorized as product_issue. The issue matches documented behavior: '- Read the Visa Core Rules and Visa Product and Service Rules Read the Merchant Data Standards Manual'. The response is grounded in this guidance (visa/support/consumer/visa-rules.md). Route=. Confidence=57.99. | This request is categorized as product_issue. The issue matches documented behavior: 'Convenient payments — online and in-store.'. The response is grounded in this guidance (visa/support/consumer/travel-support.md). Route=. Confidence=6.65."
"My mock interviews stopped in between, please give me the refund asap","Why are my mock interviews not working","HackerRank","Try the following steps: Go to the Prepare tab and locate Mock Interviews for you. If this does not resolve the issue, contact HackerRank support directly.","community","replied","bug","This request is categorized as bug. The issue matches documented behavior: 'Once purchased, mock interview credits do not expire.'. The response is grounded in this guidance (hackerrank/hackerrank_community/subscriptions-payments-and-billing/3282259518-purchase-mock-interviews.md). Route=. Confidence=39.96."
"I had an issue with my payment with order ID: cs_live_abcdefgh. Can you help me?
","Give me my money","HackerRank","Try the following steps: Go to Manage Subscription from the profile drop-down. Click Upda. If this does not resolve the issue, contact HackerRank support directly.","billing","replied","product_issue","This request is categorized as product_issue. The issue matches documented behavior: 'Click **Update** under the **Payment Method** section.'. The response is grounded in this guidance (hackerrank/settings/user-account-settings-and-preferences/4255542979-manage-subscriptions.md). Route=. Confidence=12.49."
"I am planning to start using HackerRank for hiring, can you help us with the infosec 
process of my company by filling in the forms","Using HackerRank for hiring","HackerRank","Escalate to a human support specialist. This case needs account-specific review or carries risk that should not be resolved by an automated agent.","fraud_protection","escalated","product_issue","Escalated because Critical risk detected. Escalating to human support. Confidence=0.99."
"i can not able to see apply tab
","I need to practice, submissions not working","HackerRank","For HackerRank Community job-application issues, ensure you are signed in to the correct account and navigate to the Jobs section, then select the Apply tab. If the tab is still not visible, contact HackerRank support with a screenshot and your account email for further review.","community","replied","bug","This request is categorized as bug. The issue matches documented behavior: 'If your test has had no activity in the last 90 days, you will not be able to'. The response is grounded in this guidance (hackerrank/integrations/applicant-tracking-systems/greenhouse/3593554348-enabling-outcome-data-and-public-link-with-greenhouse.md). Route=. Confidence=18.20."
"none of the submissions across any challenges are working on your website","Issue while taking the test","HackerRank","Based on HackerRank support documentation: Weekly Challenges Accessing weekly challenges Leaderboard Evaluating weekly challenges Available weekly challenges Weekly Challenges are short, repeatable activities that enable users to apply skills in a focused and time-efficient manner. They complement SkillUp learning paths and certifications by offering ongoing practice rather than long-form coursework. Weekly Challenges support the following objectives: - Provide structured opportunities. Follow that workflow and contact HackerRank support if the issue remains unresolved.","screen","replied","product_issue","This request is categorized as product_issue. The issue matches documented behavior: 'Leaderboards allow users to: - Compare their submissions with peers - Learn from top-performing solutions - Track progress'. The response is grounded in this guidance (hackerrank/skillup/getting-started/7992263058-weekly-challenges.md). Route=. Confidence=21.29."
"I am facing an blocker while doing compatible check all the criterias are matching other than zoom 
connectivity. Due to which i am unable to take the test. I have done all through my way by 
changing the settings and system configurations but still showing error","I am facing an blocker while doing compatible check","HackerRank","Here's how to address your request:

1. For your first issue:
   Run the HackerRank system check again, confirm browser camera/microphone permissions, network access, and Zoom connectivity, then retry the assessment. If the check still fails, share the compatibility-check result with the test owner or HackerRank support.

2. For your second issue:
   Try the following steps: The system will treat it as if the candidate didn’t attempt the question. If this does not resolve the issue, contact HackerRank support directly.","screen","replied","product_issue","This request is categorized as product_issue. The issue matches documented behavior: 'If you encounter issues accessing the listed domains or encounter compatibility problems, contact support@hackerrank.com and include a screenshot'. The response is grounded in this guidance (hackerrank/interviews/getting-started/6271433412-audio-and-video-calls-in-interviews-powered-by-zoom.md). Route=. Confidence=37.91. | This request is categorized as bug. The issue matches documented behavior: 'Below are two examples that could come up in the test cases, but there are many other situations'. The response is grounded in this guidance (hackerrank/screen/test-reports/1972468979-understanding-errors-in-post-assessment-reports-for-coding-questions.md). Route=. Confidence=21.42."
"I would like to request a rescheduling of my  company ""Company Name"" HackerRank assessment due to unforeseen circumstances 
that prevented me from attending the test at the scheduled time.
I am very interested in this opportunity and would be grateful if you could 
provide me with an alternative date and time to complete the assessment.
Thank you for your understanding and support.","","HackerRank","Escalate to a human support specialist. This case needs account-specific review or carries risk that should not be resolved by an automated agent.","fraud_protection","escalated","product_issue","Escalated because Critical risk detected. Escalating to human support. Confidence=0.99."
